title,haveWatched,titleID
Paprika,1,50270
They Live,1,8337
Shrek 2,1,809
Trainspotting,1,627
Secret Window,1,1586
Good Time,1,429200
"Synecdoche, New York",1,4960
Lost Highway,1,638
Jeremiah Johnson,1,11943
Taxi Driver,1,103
Sweeney Todd,1,37924
The Man Without a Past,1,7294
Drive,1,64690
Nightcrawler,1,242582
Wild at Heart,1,483
Let the Right One In,1,13310
The Fly,1,9426
Zoolander,1,9398
La Haine,1,406
Death at a Funeral,1,34803
Ghost in the Shell,1,9323
The Devil All The Time,1,499932
The Cabinet of Dr. Caligari,0,234
The Blair Witch Project,0,2667
The Evil Dead,0,764
Rashomon,0,548
In the soup,0,52936
The Phantom of The Opera,0,9833
Days of Being Wild,0,18311
"Oslo, August 31st",0,75233
The Seventh Seal,0,490
The Machine Girl,0,13964
Ugetsu,0,14696
Godzilla,0,124905
Johnny Mnemonic,0,9886
eXistenZ,0,1946
Alphaville,0,757449
Say anything,0,2028
Upgrade,0,500664
I know what you did last summer,0,1083433
Infernal Affairs,0,10775
The Crow,0,957452
American Psycho,0,1359
Robocop,0,5548
Drugstore Cowboy,0,476
Chungking Express,0,11104
Lost In Translation,0,153
John Wick,0,245891
Get Out,0,419430
Super Mario Bros.,0,502356
Sleepy Hollow,0,2668
The Usual Suspects,0,629
Your Name,0,372058
Under the skin,0,97370
Made in Hong Kong,0,643047
The Devil Wears Prada,0,350
Requiem for a Dream,0,641
The conversation,0,592
Last Life in the universe,0,11606
Memento,0,77
28 Days Later,0,170
Body Double,0,11507
Being John Malkovich,0,492
Linda Linda Linda,0,81529
The Holy Mountain,0,8327
The Changeling,0,13550
Barton Fink,0,290
The Silence of the Lamb,0,274
American History X,0,73
The Lobster,0,254320
Shin Godzilla,0,315011
Shoplifters,0,1391581
American Beauty,0,14
No Country for Old Men,0,6977
Akira,0,149
Ed Wood,0,522
Se7en,0,807
Vertigo,0,426
Chinatown,0,829
BlacKkKlans,0,487558
Brokeback Mountain,0,142
A Clockwork Orange,0,185
Fight Club,0,550
The Taste of Tea,0,15318
Strange Days,0,281
All About Lily Chou-Chou,0,16664
"Paris, Texas",0,655
2001: A Space Odyssey,0,62
Pulp Fiction,0,680
Stalker,0,401218
Boyhood,0,85350
Solaris,0,2103
Yi Yi,0,25538
Apocalypse Now,0,28
Magnolia,0,334
Love Exposure,0,28422
Princess Mononoke,False,128
The Adventures of Mark Twain,1,19947
Electric Dragon 80000V,False,27245
Eyes Without a Face,False,31417
Elevator to the Gallows,1,1093
Still Walking,1,25050
Sunset Boulevard,False,599
Uncle Boonmee Who Can Recall His Past Lives,False,38368
Invasion of the Body Snatchers,False,11850
Cowboy Bebop: The Movie,False,11299
The Tale of The Princess Kaguya,False,149871
Seven Samurai,False,346
Dracula,1,1246049
Risky Business,1,9346
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1,496
The King,1,504949
Nosferatu,False,426063
